通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
25,rcgs_package_sparql_2022.csv,rights,-,リソースの権利の表記,"©1981 NINTENDO CO.,LTD.",2,ゲームパッケージ,著作権表記,,,,,福田,
26,rcgs_package_sparql_2022.csv,tableOfContents,-,リソースを構成するサブユニットのリスト,注意書 1枚|カートリッジ保護ジャケット 1枚,2,ゲームパッケージ,サブユニットリスト,,,,,福田,
27,rcgs_package_sparql_2022.csv,abbreviatedTitle,-,リソースのタイトルの省略形,A4,2,ゲームパッケージ,省略タイトル,,,,,福田,
28,rcgs_package_sparql_2022.csv,digitalFileType,-,コンピュータファイルとして符号化されたデータの内容の一般形の分類,http://rdaregistry.info/termList/fileType/1003,2,ゲームパッケージ,デジタルファイル種別,,,,,福田,
29,rcgs_package_sparql_2022.csv,distributor,-,リソースを頒布した主体,https://collection.rcgs.jp/resource/AGENT0003295,2,ゲームパッケージ,頒布者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
30,rcgs_package_sparql_2022.csv,subunit_carrierType,-,サブユニットのメディアの一般形の種別,http://rdaregistry.info/termList/RDACarrierType/1049,2,ゲームパッケージ,サブユニット形式-キャリア種別,,,統制語彙対応済,,福田,
31,rcgs_package_sparql_2022.csv,subunit_extent,-,サブユニットのメディアの数量,9 pages,2,ゲームパッケージ,サブユニット形式-数量,,,,,福田,
32,rcgs_package_sparql_2022.csv,subunit_encodingFormat,-,サブユニットのメディア形式,,2,ゲームパッケージ,サブユニット形式-メディアフォーマット,,,統制語彙対応済,,福田,
33,rcgs_package_sparql_2022.csv,subunit_dimension,-,サブユニットの大きさの測定値,6.2 cm,2,ゲームパッケージ,サブユニット形式-大きさ,,,,,福田,
34,rcgs_package_sparql_2022.csv,subunit_fileSize,-,サブユニットのファイルサイズ,,2,ゲームパッケージ,サブユニット形式-ファイルサイズ,,,,,福田,
35,rcgs_package_sparql_2022.csv,manufacturer,-,リソースを製造した主体,,2,ゲームパッケージ,製造者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
36,rcgs_package_sparql_2022.csv,middlewareOrGameEngine,-,リソースの制作に用いられたミドルウェアもしくはゲームエンジン,ADX,2,ゲームパッケージ,ミドルウェア・ゲームエンジン,,,,,福田,
37,rcgs_package_sparql_2022.csv,modelNumber,-,リソースの供給者が定義する型番による識別子,HVC-DK,2,ゲームパッケージ,型番,,,,,福田,
38,rcgs_package_sparql_2022.csv,modeOfIssuance,-,単独、複数部分での発行、更新方法ないしは終了の決定を反映した分類,http://rdaregistry.info/termList/ModeIssue/1001,2,ゲームパッケージ,刊行方式,,,,,福田,
39,rcgs_package_sparql_2022.csv,ndlBibID,-,リソースの国会図書館書誌IDによる識別子,,2,ゲームパッケージ,国会図書館書誌ID,,,,,福田,
40,rcgs_package_sparql_2022.csv,oclcNumber,-,リソースのOCLCによる識別子,,2,ゲームパッケージ,OCLCナンバー,,,,,福田,
41,rcgs_package_sparql_2022.csv,parallelTitle,-,リソースの主要なタイトル以外の表記されるタイトル,MARIO BROS,2,ゲームパッケージ,別タイトル,,,,,福田,
42,rcgs_package_sparql_2022.csv,producer,-,非複製物であるリソースを制作した主体,,2,ゲームパッケージ,制作者,該当する責任主体のIDに変換（メモより同定可能）,,,,福田,
43,rcgs_package_sparql_2022.csv,PA_publisherStatement,-,発行する主体の表示される名称,任天堂株式会社,2,ゲームパッケージ,発行者名,,,,,福田,
44,rcgs_package_sparql_2022.csv,PA_date,-,発行に関連する日付,1983-07-15,2,ゲームパッケージ,公開年月日,,,,,福田,
45,rcgs_package_sparql_2022.csv,PA_type,-,発行形式の一般形による種別,https://collection.rcgs.jp/terms/ProvisionActivity|http://www.rcgs.jp/terms/Publication,2,ゲームパッケージ,,,,マッピングしないが供給形式の判定に用いる,,福田,
46,rcgs_package_sparql_2022.csv,PA_publisherStatement,-,発行する主体の表示される名称,任天堂株式会社,2,ゲームパッケージ,出版者名,"PA_typeが""http://www.rcgs.jp/terms/Publication""のとき出版者名として記録する",,,,福田,
